Quantity_Sold,Unit_Price,Profit,Discount,Month,Region,Product_Category,Sales_Channel,Customer_Type,Actual_Sales,Predicted_Sales
6,679.2616666666667,-10596.482,0.0,8,0,1,1,0,4075.57,3914.8828504860435
4,96.795,-542.0519999999999,0.3,8,0,2,1,0,387.18,321.4342016197039
8,355.54,-10808.416,0.0,10,1,2,1,2,2844.32,3359.6666130153117
1,302.56,121.024,0.0,3,3,1,1,1,302.56,298.00792363396044
3,237.33,-569.5920000000001,0.05,3,2,1,0,0,711.99,467.5998224798757
3,611.97,-1468.7279999999998,0.2,5,1,2,0,1,1835.91,1601.8874534356446
1,406.73,162.692,0.1,1,3,1,0,0,406.73,499.04804770102874
4,1056.9875,-5919.13,0.05,4,1,1,1,2,4227.95,3722.1604782034433
8,1379.31625,-41931.214,0.05,6,2,2,0,0,11034.53,11570.755436880698
1,646.1,258.44,0.05,4,1,2,0,0,646.1,1130.2899618813349
6,1209.185,-18863.286,0.05,10,2,0,1,0,7255.11,6814.048096207769
4,877.4775,-4913.874,0.1,9,1,2,0,0,3509.91,3105.1477181180626
5,1156.928,-11569.280000000002,0.0,11,0,1,1,2,5784.64,5205.770974998062
7,1242.6085714285714,-27834.432,0.0,3,2,2,1,2,8698.26,8533.642807301858
6,321.44,-5014.463999999999,0.3,7,3,2,1,2,1928.64,1935.7878044250997
7,454.56142857142856,-10182.176,0.0,5,0,2,0,1,3181.93,3278.6310734544863
7,1162.4557142857143,-26039.008,0.0,4,2,0,0,1,8137.19,7979.019162707176
5,1002.24,-10022.399999999998,0.0,1,1,1,0,1,5011.2,4377.843901288881
2,473.565,-189.42600000000004,0.05,10,1,1,1,0,947.13,1014.0019826922003
6,847.81,-13225.835999999996,0.2,6,3,0,0,0,5086.86,4758.959579299615
3,802.85,-1926.84,0.15,12,3,2,1,2,2408.55,2304.917224072989
3,225.32666666666668,-540.7840000000001,0.15,11,3,2,0,1,675.98,503.98114142522354
2,1088.11,-435.2439999999992,0.0,4,1,0,1,0,2176.22,2592.4322770689373
4,58.0225,-324.926,0.0,2,0,1,0,2,232.09,36.777806796387495
3,924.6133333333332,-2219.072,0.2,3,3,1,1,2,2773.84,2574.3824179406397
1,1442.59,577.036,0.0,10,3,1,1,0,1442.59,3275.1367567952357
5,1122.664,-11226.64,0.1,6,2,2,1,0,5613.32,5033.200670456574
1,240.3,96.12,0.0,2,0,2,0,0,240.3,79.53433559590974
5,1278.66,-12786.600000000002,0.0,5,0,2,0,0,6393.3,5650.709933674792
3,391.42,-939.4079999999996,0.0,2,0,1,0,1,1174.26,902.246007017927
2,973.7,-389.48,0.05,7,1,1,0,1,1947.4,2247.2868150704726
2,673.09,-269.2359999999999,0.2,12,2,1,0,0,1346.18,1516.033829354495
1,1042.84,417.136,0.05,6,1,1,0,0,1042.84,2157.9978582819176
1,1474.61,589.8439999999999,0.0,9,1,0,1,2,1474.61,3308.3418758919174
8,502.6,-15279.04,0.0,2,3,1,1,0,4020.8,4499.419764260714
3,1264.993333333333,-3035.984,0.1,6,3,2,1,0,3794.98,3672.6268321705097
