Quantity_Sold,Unit_Price,Profit,Discount,Month,Region,Product_Category,Sales_Channel,Customer_Type,Actual_Sales,Predicted_Sales
3,3022.1733333333336,-7253.216,0.0,9,1,0,0,0,9066.52,9160.061744849227
2,11249.0,-4499.599999999999,0.1,5,1,1,1,1,22498.0,17063.7538297122
6,720.4766666666666,-11239.435999999998,0.0,5,2,2,0,0,4322.86,4986.014888769636
2,10683.475,-4273.389999999999,0.15,5,2,0,1,0,21366.95,16651.267235496904
1,2748.04,1099.216,0.05,5,3,1,0,1,2748.04,8873.516134588855
6,1509.3216666666667,-23545.418,0.0,10,0,2,0,2,9055.93,8532.032146329218
3,5976.203333333334,-14342.888,0.05,7,0,1,1,2,17928.61,13469.582546987847
9,625.1455555555556,-24755.764,0.2,3,1,0,1,1,5626.31,5372.781435603441
9,2621.1388888888887,-103797.1,0.05,4,2,1,1,0,23590.25,26613.512204142906
1,8683.99,3473.5960000000005,0.15,11,1,1,1,1,8683.99,13668.623906892542
5,4695.662,-46956.62000000001,0.0,2,1,1,1,1,23478.31,18433.575736375456
7,1715.9,-38436.16,0.0,6,2,2,1,2,12011.3,11487.461410332966
8,1158.65,-35222.96000000001,0.05,4,1,1,0,1,9269.2,9329.088746490794
2,2322.4,-928.96,0.15,6,2,1,0,2,4644.8,7938.822750408567
2,6520.805,-2608.322,0.15,5,3,0,0,2,13041.61,12373.263347243459
7,343.7685714285714,-7700.416,0.1,7,2,2,1,1,2406.38,2723.7429348359938
2,351.715,-140.68600000000004,0.2,12,2,2,0,0,703.43,5887.421830481797
8,918.495,-27922.248,0.15,3,2,1,1,2,7347.96,7331.040314172715
7,1857.818571428572,-41615.136,0.1,2,0,0,1,1,13004.73,12568.09567329472
1,15235.78,6094.312,0.3,9,3,1,0,2,15235.78,19284.447430115608
5,4745.004,-47450.03999999999,0.1,8,1,2,1,0,23725.02,18558.250976467767
8,1359.87875,-41340.314000000006,0.1,11,3,1,0,0,10879.03,11097.648037712168
4,4030.0025,-22568.014,0.05,2,2,1,1,2,16120.01,12830.574630662375
1,18616.17,7446.467999999999,0.0,8,3,0,1,2,18616.17,22001.97093145579
7,2159.7585714285715,-48378.592,0.05,12,2,1,0,1,15118.31,14448.000976266332
2,3315.54,-1326.2160000000003,0.3,7,1,2,1,1,6631.08,8909.689416088633
4,3290.2675,-18425.498,0.2,9,1,2,0,0,13161.07,11125.614678542963
3,1392.1733333333334,-3341.2160000000003,0.2,11,3,2,0,1,4176.52,6666.74583430543
3,1390.2066666666667,-3336.496,0.1,1,2,2,1,1,4170.62,6640.93350994435
